0.1,-0.45590188541076,-0.04409811458924,10.1808831549535
0.01,-0.495661575773676,-0.00433842422632397,10.0189568844145
0.001,-0.499566904000881,-0.000433095999118949,10.0019063424988
0.0001,-0.49995669789582,-4.33021041796322e-05,10.0002054009732
1e-05,-0.499995669855924,-4.33014407608123e-06,10.0205823578361
1e-06,-0.499999566971887,-4.33028112867273e-07,9.46756756756757
1e-07,-0.499999955883013,-4.41169873410807e-08,-0.616666666152778
1e-08,-0.499999996961265,-3.03873542994992e-09,-0.6000000002
1e-09,-0.499999930347883,-6.96521169629705e-08,-Inf
1e-10,-0.500000041370185,4.13701855550563e-08,0
1e-11,-0.500000041370185,4.13701855550563e-08,0.2
1e-12,-0.499933427988708,-6.65720112919543e-05,Inf
1e-13,-0.49960036108132,-0.000399638918679501,0
1e-14,-0.49960036108132,-0.000399638918679501,0.125
