0.1,-0.542432281057521,0.0424322810575211,9.80000153574062
0.01,-0.504321757642989,0.00432175764298931,9.9808519365093
0.001,-0.50043292933255,0.000432929332550513,9.99809321261317
0.0001,-0.500043300437625,4.33004376248491e-05,9.99992706885156
1e-05,-0.500004330117321,4.33011732076105e-06,10.006157354618
1e-06,-0.500000433056869,4.33056868642812e-07,10.9625
1e-07,-0.500000043590632,4.35906316043067e-08,-1.06666666666667
1e-08,-0.500000008063495,8.06349481630164e-09,-Inf
1e-09,-0.500000041370185,4.13701855550563e-08,NaN
1e-10,-0.500000041370185,4.13701855550563e-08,-0
1e-11,-0.500000041370185,4.13701855550563e-08,0.0666666666666667
1e-12,-0.500044450291171,4.44502911705613e-05,-0.6
1e-13,-0.500710584105946,0.000710584105945655,-0.02
1e-14,-0.49960036108132,-0.000399638918679501,0.1
